question_index,question,llm_answer,gt_answer,is_correct,context_tokens
474,Hãng xe nào đã thương mại hóa xe hơi chạy pin nhiên liệu hydro?,B,B,✓,70
475,Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,B,B,✓,213
476,Ưu điểm nổi bật giúp siêu tụ phù hợp cho xe buýt điện đô thị?,D,D,✓,516
477,"Trình bày cơ chế hoạt động, ưu điểm, và ứng dụng của siêu tụ điện trong giao thông bền vững, đồng thời so sánh với pin truyền thống.",A,A,✓,610
478,Ứng dụng nào tận dụng siêu tụ để thu hồi năng lượng phanh?,A,A,✓,205
479,Hạn chế chính của siêu tụ điện so với pin lithium-ion là gì?,B,B,✓,230
480,Ưu điểm lớn nhất của pin natri-ion so với pin lithium-ion là gì?,B,B,✓,368
481,Thách thức kỹ thuật chính của pin natri-ion hiện nay?,C,C,✓,388
482,"Mô tả cấu trúc, cơ chế và lợi ích chiến lược của pin natri-ion, nêu ứng dụng thực tế và các thách thức hiện nay.",A,A,✓,572
483,Công ty nào công bố pin natri-ion thương mại đầu tiên?,D,D,✓,29
484,Lợi ích xã hội quan trọng khi phát triển pin natri-ion?,A,A,✓,522
485,Điện toán không gian kết hợp những công nghệ nào để tạo trải nghiệm 3D thực?,B,B,✓,422
486,Ứng dụng nào minh họa rõ nhất lợi ích của điện toán không gian trong y tế?,C,C,✓,497
487,"Giải thích khái niệm, thành phần cốt lõi và các ứng dụng tiêu biểu của điện toán không gian, đồng thời phân tích thách thức triển khai.",A,A,✓,648
488,Cấu hình hạ tầng mạng nào cần thiết để đảm bảo độ trễ thấp và băng thông cao cho trải nghiệm thực tế ảo (VR) mượt mà?,A,A,✓,534
489,Những xu hướng công nghệ tương lai quan trọng nào trong lĩnh vực điện toán không gian dự kiến sẽ tác động đến các ngành công nghiệp chính trong 5 năm tới?,A,A,✓,533
490,"Cho ma trận hiệp phương sai S của dữ liệu đã chuẩn hoá có các trị riêng λ1=5,λ2=2,λ3=1,λ4=0.5\lambda_1=5, \lambda_2=2, \lambda_3=1, \lambda_4=0.5λ1​=5,λ2​=2,λ3​=1,λ4​=0.5 (giảm dần). Nếu chọn K=2K=2K=2 thành phần chính, tỉ lệ phương sai được giữ lại là bao nhiêu?",A,A,✓,281
491,"Trong hiện tượng nhiễu xạ, (1) khi nào xảy ra nhiễu xạ Fresnel, và (2) khi nào xảy ra nhiễu xạ Fraunhofer?",A,A,✓,274
492,Hiện tượng giao thoa sóng xảy ra khi nào?,A,A,✓,338
493,Mét được định nghĩa dựa trên hiện tượng nào và giây được định nghĩa dựa trên dao động của nguyên tử nào?,B,B,✓,130
494,Nếu forget gate trong LSTM có giá trị bằng 0 thì điều gì xảy ra với thông tin lưu trữ trong cell state?,B,B,✓,269
495,"Nội dung chính của tài liệu Public_124, hướng dẫn khai báo QoS cho thiết bị truyền dẫn Viba, là gì?","A,C,D",C,✗,422
496,Ai là người giải thích thành công hiện tượng quang điện bằng thuyết lượng tử ánh sáng?,C,C,✓,209
497,"Trong tài liệu Public_120, cho điểm X1 = (5, 2, 4); X2 = (3, 8, 1). Tính khoảng cách Euclidean của chúng dựa trên công thức trong phần MLkNN.",A,A,✓,181
498,"Dựa trên kết quả CIFAR-10, độ chênh lệch tỉ lệ nhận dạng đúng giữa SGD with momentum và AdaDelta là bao nhiêu phần trăm?",B,B,✓,112
499,Hiện tượng quang điện ngoài là gì?,A,A,✓,350
500,Điều kiện cần và đủ để một vật rắn ở trạng thái cân bằng là:,C,C,✓,294
501,"Một điện tích thử q=+2 Cq = +2 \, Cq=+2C được dịch chuyển trong điện trường từ điểm M đến điểm N. Công của lực điện thực hiện là 10 J10 \, J10J. Hiệu điện thế giữa hai điểm M và N bằng bao nhiêu?","A,C,D",B,✗,277
502,Một ngọn lửa đèn cồn có chứa muối Na khi đốt sẽ cho ánh sáng màu vàng đặc trưng. Ánh sáng này thuộc loại quang phổ nào?,B,B,✓,161
503,Đơn vị của công và năng lượng trong hệ SI là:,B,B,✓,253
504,Hàm mục tiêu Fisher cho bài toán 2 lớp được viết dưới dạng nào?,B,B,✓,189
505,"Theo tài liệu Public_111, công thức tính xác suất đồng thời của mạng Bayes dựa trên công thức toán học nào?",B,B,✓,101
506,Hai thuật toán quan trọng trong Linear-Chain CRFs lần lượt được dùng cho huấn luyện và suy luận là gì?,B,A,✗,276
507,"Trong chuyển động tròn đều, vectơ vận tốc của vật luôn:",C,C,✓,237
508,Điểm chung của mọi dạng chuyển động trong không gian hai chiều là:,C,C,✓,393
509,Nghiệm w tối ưu (Fisher) có thể chọn tỉ lệ theo biểu thức nào?,D,"C,D",✗,116
510,Trọng tâm của một vật rắn là:,C,C,✓,278
511,Ứng dụng quan trọng của âm học trong thực tiễn là gì?,B,B,✓,462
512,Mô hình nào sử dụng self-attention để thay thế RNN trong hệ gợi ý tuần tự?,B,B,✓,437
513,"Trong va chạm đàn hồi, động lượng của hệ có đặc điểm gì và năng lượng của hệ có đặc điểm gì?",D,B,✗,326
514,"Một sợi dây dài 1,2m được căng cố định hai đầu. Trên dây có sóng dừng với 3 bụng sóng. Biết vận tốc truyền sóng trên dây là 60m/s. Tần số của sóng bằng bao nhiêu?",C,C,✓,244
515,Khái niệm cân bằng tĩnh thường được ứng dụng nhiều nhất trong lĩnh vực nào?,B,B,✓,261
516,Đơn vị của tốc độ góc trong hệ SI là:,A,A,✓,198
517,"Theo tài liệu Public_124, chỉ số CDR và HOSR lần lượt có ý nghĩa gì?",B,B,✓,246
518,Trình bày nội dung chính của Định lý công - động năng.,C,C,✓,370
519,"Dựa trên thông tin từ tài liệu Public_110 về BERT4Rec và chuỗi sản phẩm, nếu trong một chuỗi lịch sử gồm 10 sản phẩm, BERT4Rec ẩn ngẫu nhiên 20% để dự đoán lại, thì có bao nhiêu sản phẩm bị ẩn?",B,B,✓,221
520,"Định luật II Newton cho biết mối quan hệ giữa lực và gia tốc, và định luật III Newton mô tả mối quan hệ giữa hai lực nào?",B,B,✓,281
521,"Sử dụng tài liệu `Public_117`, tính P(y=1∣x=1) theo quy tắc Bayes với y∈{0,1} có P(y=1)=0.4 và x∈{0,1} có P(x=1∣y=1)=0.9, P(x=1∣y=0)=0.2.",C,C,✓,242
522,"Trong nghiên cứu quang phổ, (1) quang phổ vạch phát xạ xuất hiện khi nào, và (2) quang phổ vạch hấp thụ xuất hiện khi nào?",A,A,✓,350
523,Điểm chung của các chuẩn đo lường cơ bản trong hệ SI là:,A,A,✓,401
524,"Áp kế thủy ngân của Torricelli được dùng để đo đại lượng nào, và giá trị đo phụ thuộc vào yếu tố nào?",A,A,✓,218
525,"Một vật có diện tích đáy tiếp xúc với chất lỏng là 0,5 𝑚2. Nếu áp suất của chất lỏng tác dụng lên bề mặt đó là 2000Pa, thì lực mà chất lỏng tác dụng lên vật là bao nhiêu?",B,B,✓,172
526,"Trong nguyên tử Hydro, khi electron chuyển từ mức năng lượng cao xuống mức thấp hơn, dạng năng lượng nào được phát ra?",B,B,✓,146
527,"Trong hệ tọa độ cực, một điểm có tọa độ (r, θ). Công thức chuyển đổi sang tọa độ Descartes là:",B,B,✓,372
528,CIDNet sử dụng kiến trúc mạng nào để xử lý ảnh ánh sáng yếu?,B,B,✓,270
529,Lực ma sát trượt có những đặc điểm nào?,D,A,✗,386
530,Công do một lực sinh ra được tính bằng:,B,B,✓,356
531,"Trong quá trình ước lượng chiếu sáng kép, ảnh đảo ngược (I_inv) được dùng để làm gì?",C,C,✓,226
532,Mục tiêu chính của phương pháp dual illumination estimation được trình bày trong tài liệu Public_122 là gì?,B,B,✓,389
533,BERT4Rec sử dụng mục tiêu huấn luyện nào để dự đoán sản phẩm bị ẩn?,C,C,✓,210
534,"Trong thí nghiệm giao thoa sóng mặt nước, tại những điểm cực đại giao thoa ta có đặc điểm gì?",B,B,✓,353
535,Nội dung chính của tài liệu Public_112 là gì?,D,D,✓,485
536,Biến forward αt(i) trong thuật toán Forward biểu diễn điều gì?,"A,B,C,D",A,✗,350
537,Văn bản chủ yếu tập trung nghiên cứu vấn đề gì?,A,B,✗,442
538,"Trong ví dụ của tài liệu, Linear-Chain CRFs được minh họa cho hai bài toán nào?",C,C,✓,173
539,"Trong sóng dừng trên sợi dây, (1) bụng sóng có đặc điểm dao động gì, và (2) nút sóng có đặc điểm dao động thế nào?",A,A,✓,212
540,"Theo Bohr, (1) electron chỉ tồn tại ổn định ở đâu, và (2) khi electron chuyển quỹ đạo thì điều gì xảy ra?",A,A,✓,218
541,Thuật toán nào thường được dùng để tối ưu tham số trong huấn luyện mạng nơ-ron sâu?,A,A,✓,357
542,Tia sáng truyền từ không khí vào nước bị gãy khúc. Hiện tượng này gọi là gì?,B,B,✓,152
543,Hai giả định cơ bản của Hidden Markov Model là gì?,C,C,✓,209
544,Nội dung chính của tài liệu tập trung vào vấn đề gì?,A,A,✓,497
545,Muốn một vật rắn ở trạng thái cân bằng cần điều kiện gì về lực và điều kiện gì về mômen lực?,A,A,✓,321
546,"Trong hiện tượng quang điện, (1) điều kiện để electron quang điện bật ra khỏi kim loại là gì, và (2) năng lượng dư thừa sau khi thắng công thoát biến thành dạng nào?",A,A,✓,266
547,"Giả sử 2 lớp có m1−m2 = [2, −1]^T, và S_W = [[5, 1], [1, 2]]. Tính hướng phân biệt tuyến tính của Fisher (Fisher's linear discriminant direction) w, biết rằng w tỉ lệ với S_W^{-1}(m1−m2).",B,D,✗,406
548,Định luật I Newton còn được gọi là:,C,C,✓,213
549,Một người nghe thấy hai âm có tần số lần lượt là 440 Hz và 442 Hz phát ra cùng lúc. Hiện tượng gì xảy ra và số nhịp đập trong 1 giây là bao nhiêu?,A,A,✓,182
550,Điều kiện cần và đủ để một vật rắn ở trạng thái cân bằng tĩnh là:,C,C,✓,306
551,Adam và RMSProp khác nhau ở đặc điểm nào?,B,B,✓,574
552,Ý nghĩa quan trọng nhất của mẫu nguyên tử Bohr là gì?,B,B,✓,509
553,Nội dung chính của tài liệu 'Public_110' nói về điều gì?,D,D,✓,489
554,Nội dung chính của bài báo nghiên cứu Public_108 là gì?,D,D,✓,433
555,"Theo tài liệu Public_102, nếu chuỗi đầu vào có 4 từ và mỗi từ có thể gán 3 nhãn khác nhau, tổng số cấu hình nhãn có thể có là bao nhiêu?",B,B,✓,133
556,"Theo tài liệu Public_111, hai thành phần cơ bản của mạng Bayes là gì?",D,D,✓,181
557,Những ứng dụng quan trọng của hiện tượng nhiễu xạ và phân cực ánh sáng là gì?,B,B,✓,606
558,Tính chất quan trọng nhất của đại lượng vectơ khi so sánh với đại lượng vô hướng là:,C,C,✓,392
559,Thuật toán nào được dùng để suy luận (tìm chuỗi nhãn tối ưu) trong Linear-Chain CRFs?,B,B,✓,390
560,"Hai điện tích điểm cùng dấu đặt cách nhau 
0,2m thì đẩy nhau bằng lực 
9N. Nếu giữ nguyên các điện tích đó nhưng tăng khoảng cách giữa chúng lên gấp đôi, thì lực tác dụng giữa chúng còn bao nhiêu?",B,B,✓,322
561,Phần 'Xác suất' trong tài liệu Public_117 chủ yếu trình bày nội dung gì?,B,B,✓,389
562,Tư tưởng xuyên suốt của ba định luật Newton trong cơ học cổ điển là:,D,D,✓,400
563,"Dựa vào nội dung tài liệu Public_131, hãy tính vận tốc sau va chạm của hai vật trong trường hợp một vật khối lượng 2 kg chuyển động với vận tốc 4 m/s va chạm trực diện, dính chặt vào một vật khối lượng 3 kg đang đứng yên.",B,B,✓,360
564,Đơn vị chuẩn của độ dài trong hệ SI hiện nay được định nghĩa dựa trên:,C,C,✓,250
565,"Dựa trên tài liệu Public_117, phát biểu nào đúng về hàm mật độ xác suất (pdf) của biến ngẫu nhiên liên tục x?",B,B,✓,290
566,"Dựa vào Document Index: Public_129, hãy trình bày công thức hoặc phương pháp tính gia tốc của một vật khi biết khối lượng, lực kéo ngang và hệ số ma sát trượt.","A,B,C,D",A,✗,566
567,"Một thanh đồng chất dài 4 m, khối lượng 40 kg được đặt nằm ngang trên hai giá đỡ ở hai đầu. Một vật nặng 20 kg được đặt tại điểm cách đầu trái của thanh 1 m. Hỏi phản lực của giá đỡ bên phải bằng bao nhiêu? (Lấy g = 10 m/s²).",D,B,✗,500
568,Tóm tắt nội dung chính của phần Linear-Chain CRFs trong tài liệu Public_102?,D,D,✓,550
569,"Nếu một HMM có 3 trạng thái ẩn (N=3) và chuỗi quan sát dài 4 bước (T=4), độ phức tạp của thuật toán Forward là bao nhiêu?",D,D,✓,304
570,Nội dung chính của tài liệu Public_116 là gì?,C,C,✓,385
571,Nội dung chính của thuật toán đàn kiến (ACO) là gì?,C,C,✓,584
572,Điện thế tại một điểm trong điện trường đặc trưng cho điều gì?,A,A,✓,317
573,Công thức marginal p(x)p(x)p(x) và conditional p(x∣y)p(x\mid y)p(x∣y) lần lượt là gì?,A,C,✗,318
574,Phương của vectơ mômen lực (τ) được xác định theo quy tắc nào?,A,A,✓,242
575,"Nếu một ảnh có nhiều khác biệt mức xám xuất hiện lặp lại, sau khi áp dụng LDR ảnh đầu ra sẽ có đặc điểm gì?",A,A,✓,326
576,Nội dung chính của phần 2 của tài liệu Public_121 là gì?,B,B,✓,470
577,Nội dung chính của phương pháp LDR trong tăng cường tương phản là gì?,D,D,✓,405
578,"Trong tài liệu Public_122, thuật toán được mô tả khôi phục chi tiết vùng tối bị mất bằng thành phần nào?",A,A,✓,356
579,Thuật toán nào thường được sử dụng để giải quyết bài toán Đánh giá và Học trong HMM?,B,B,✓,417
580,Tóm tắt nội dung chính của phần huấn luyện và suy luận Linear-Chain CRFs?,D,D,✓,532
581,Giả sử tại t=0 có 30 kiến ở B và 30 kiến ở D (theo ví dụ hình 2). Trung bình có bao nhiêu kiến từ nút B và từ nút D đi qua C khi chúng lựa chọn đường đi ngẫu nhiên?,B,B,✓,417
582,Giá trị của đo độ Hamming Loss trong trường hợp lí tưởng bằng bao nhiêu?,B,B,✓,168
583,Thuật toán nào có tỉ lệ nhận dạng đúng cao nhất trên tập MNIST?,A,A,✓,162
584,"Phân loại Naive Bayes đòi hỏi tính các xác suất điều kiện thành phần P(xi | cj) = nc / n. Trong một số trường hợp thực tế, nc có thể rất nhỏ, thậm chí = 0. Khi đó kĩ thuật nào sẽ được sử dụng?",C,C,✓,497
585,Mạng Bayes giải quyết vấn đề căn bản nào của các bài toán tìm kiếm liên quan đến sự không chắc chắn hoặc suy luận xác suất?,C,C,✓,494
586,"Khi ánh sáng mặt trời phản xạ trên mặt hồ, tại sao ta thường thấy ánh sáng chói bị giảm bớt khi đeo kính râm phân cực?",B,B,✓,322
587,CDR là viết tắt của chỉ số nào trong viễn thông?,A,A,✓,108
588,"Nếu mạng ghi nhận 1.000 cuộc gọi và 25 cuộc bị rớt, hãy tính Tỷ lệ rớt cuộc gọi (CDR).",B,B,✓,101
589,Thành phần nào trong học tăng cường đóng vai trò quyết định hành động để tối đa hóa phần thưởng?,B,B,✓,289
590,"Trong chuyển động tròn đều, lực nào giữ cho vật chuyển động theo quỹ đạo tròn và gia tốc nào luôn xuất hiện?",A,A,✓,269
591,Đặc trưng nào dưới đây định nghĩa một dao động điều hòa tắt?,B,A,✗,436
592,SASRec và BERT4Rec khác nhau chủ yếu ở những điểm nào?,B,B,✓,448
593,Ý nghĩa quan trọng của hiện tượng quang điện đối với vật lý hiện đại là gì?,B,B,✓,449
594,Trọng lực tác dụng lên một vật là gì?,A,A,✓,640
595,Đâu không phải là một ứng dụng thực tế của phân loại Naive Bayes?,C,C,✓,389
596,Hiện tượng nào là cơ sở của công nghệ sợi quang?,C,C,✓,230
597,Thành phần nào đảm bảo làm nổi bật các khác biệt mức xám xuất hiện thường xuyên trong thuật toán LDR?,B,B,✓,350
598,"Trong hiện tượng giao thoa sóng, (1) điều kiện về tần số của các nguồn dao động phải thế nào, và (2) đặc điểm của các điểm cực tiểu giao thoa ra sao?",A,A,✓,270
599,Nội dung chính của phần 1 tài liệu Public_107 về Gradient Descent là gì?,D,D,✓,580
600,"Trong lý thuyết điện trường, (1) định luật Coulomb mô tả điều gì, và (2) khái niệm điện trường được dùng để giải thích hiện tượng nào?",A,A,✓,336
601,"Trong cân bằng tịnh tiến, điều kiện nào phải thỏa mãn?","A,B",A,✗,156
602,Phương pháp đánh giá các mô hình phân lớp đa nhãn (MLL) được nhắc tới trong tài liệu là gì?,C,C,✓,421
603,Histogram Equalization (HE) và Contextual Visual Contrast (CVC) có hạn chế gì?,C,C,✓,324
604,"Thuật toán nào được sử dụng cho: (1) Tính xác suất chuỗi quan sát, (2) Tìm chuỗi trạng thái tối ưu?",D,D,✓,256
605,Ưu điểm và nhược điểm chính của RNN là gì?,D,D,✓,357
606,Công cơ học dương xảy ra trong trường hợp nào và công cơ học âm xảy ra trong trường hợp nào?,A,A,✓,208
607,Hệ thống Ant Colony System (ACS) và Max-Min Ant System (MMAS) có điểm gì nổi bật?,B,B,✓,548
608,Tọa độ góc trong chuyển động quay của vật rắn có vai trò tương tự như đại lượng nào trong chuyển động tịnh tiến?,C,C,✓,328
609,Kiến trúc SASRec dựa trên mô hình nào?,A,A,✓,277
610,"Với hàm f(x)=x2+5sin⁡(x)f(x) = x^2 + 5\sin(x)f(x)=x2+5sin(x), đạo hàm là f′(x)=2x+5cos⁡(x)f'(x) = 2x + 5\cos(x)f′(x)=2x+5cos(x). Nếu khởi tạo x0=−5x_0 = -5x0​=−5, learning rate η=0.1\eta = 0.1η=0.1, thuật toán hội tụ sau khoảng bao nhiêu vòng lặp theo tài liệu?",C,C,✓,265
611,Điểm then chốt để phân biệt va chạm đàn hồi và va chạm mềm là:,B,B,✓,353
612,Nội dung chính phần 2 của tài liệu HMM (Public_105) là gì?,B,B,✓,554
613,Ai là người đề xuất mẫu nguyên tử dựa trên quỹ đạo dừng và bức xạ/thu năng lượng rời rạc?,B,B,✓,117
614,"Một học sinh ngồi trên ghế xoay cầm hai quả tạ 3 kg, ban đầu dang tay ra cách trục 1,0 m và quay với tốc độ góc 0,75 rad/s. Khi co tay lại còn cách 0,3 m, hãy cho biết tốc độ góc mới so với ban đầu:",A,C,✗,374
615,"Theo tài liệu Public_113, ý tưởng cốt lõi của RNN là gì?",B,B,✓,338
616,Quang phổ liên tục được tạo thành trong điều kiện nào?,A,A,✓,292
617,"Theo tài liệu Public_144, nguyên tắc quan trọng cần nhớ khi nghiên cứu về điện trường là gì?",B,B,✓,474
618,Nhiễu xạ ánh sáng là gì?,B,B,✓,464
619,Định luật vạn vật hấp dẫn do Newton phát biểu năm nào?,C,C,✓,96
620,Hiệu điện thế giữa hai điểm trong điện trường là gì?,B,B,✓,378
621,"Khi nào sóng dừng hình thành, theo tài liệu Public_142?",A,B,✗,356
622,Đặc điểm nào định nghĩa chuyển động tròn đều?,B,B,✓,366
623,"Trong PCA, công thức của ma trận hiệp phương sai SSS và toạ độ sau khi chiếu Z (trên K thành phần chính) lần lượt là gì?",A,A,✓,166
624,Đơn vị chuẩn của thời gian (giây) hiện nay được định nghĩa dựa trên:,B,B,✓,164
625,Nội dung chính của tài liệu Public_115 đề xuất điều gì?,C,C,✓,420
626,Nội dung chính của tài liệu về CNN tập trung vào vấn đề gì?,C,C,✓,472
627,"Với một câu đầu vào có 4 từ và mỗi từ có thể gán 4 nhãn khác nhau (v, n, p, d), tổng số chuỗi nhãn *có thể có* mà thuật toán Viterbi xem xét là bao nhiêu?",C,C,✓,178
628,Định luật vạn vật hấp dẫn của Newton giải thích những hiện tượng nào?,A,A,✓,472
629,Động lượng của một vật phụ thuộc trực tiếp vào:,A,A,✓,328
630,CSSR phản ánh điều gì trong chất lượng mạng?,A,C,✗,284
631,Nội dung chính của phần 1 trong tài liệu Public_111 là gì?,A,A,✓,538
632,“Learning rate” (ký hiệu η\etaη) trong Gradient Descent có vai trò gì?,B,B,✓,488
633,“Mômen động lượng của một vật rắn quay quanh trục z được xác định bởi đại lượng nào và điều kiện nào khiến nó được bảo toàn?”,B,B,✓,216
634,"Trong âm học, (1) đặc trưng nào quyết định độ to nhỏ của âm, và (2) đặc trưng nào quyết định âm sắc?",A,A,✓,218
635,Đặc trưng vật lý nào quyết định độ cao (trầm hay bổng) của âm?,B,B,✓,256
636,Thuật toán nào thường dùng để giải quyết bài toán giải mã cho các mã sửa lỗi?,C,C,✓,324
637,GRU4Rec và BERT4Rec khác nhau chủ yếu ở điểm nào?,D,D,✓,424
638,"Với một HMM có N trạng thái và chuỗi quan sát độ dài T, độ phức tạp của thuật toán Viterbi là bao nhiêu?",C,C,✓,182
639,"Trong tài liệu Public_146, bản chất ánh sáng được khẳng định như thế nào?",C,C,✓,413
640,LDR là viết tắt của gì trong xử lý ảnh?,A,A,✓,162
641,"Một vật rắn ở trạng thái cân bằng tĩnh phải thỏa mãn điều kiện nào, và trong cân bằng quay thì gia tốc góc của vật có giá trị bao nhiêu?",A,A,✓,230
642,"Theo tài liệu Public_142, tại nút sóng của sóng dừng có đặc điểm gì?",B,B,✓,212
643,Các yếu tố nào được sử dụng để tính bản đồ trọng số (weight map) trong bước multi-exposure fusion?,D,D,✓,314
644,Nguyên lý bảo toàn mômen động lượng phát biểu những gì?,B,B,✓,296
645,"Theo tài liệu Public_131, định luật bảo toàn động lượng khẳng định điều gì trong hệ cô lập?",B,B,✓,217
646,"Theo tài liệu Public_140, sóng cơ học là gì?",A,A,✓,341
647,Thuật toán Q-Learning là thuộc loại nào trong học tăng cường?,B,B,✓,340
648,"Cho 5 đối tượng được xếp hạng tương ứng là A, C, E, D, B; một xếp hạng của đối tượng cần đánh giá là A, E, B, D, C. Tính chỉ số MAP (Mean Average Precision) theo công thức được cho trong tài liệu Public_121.",D,D,✓,273
649,Các ứng dụng thực tế của hiện tượng giao thoa sóng trong nghiên cứu khoa học và kỹ thuật được trình bày trong tài liệu Public_141 là gì?,A,A,✓,498
650,Bộ dữ liệu CIFAR-10 gồm bao nhiêu hình ảnh dùng cho huấn luyện?,C,C,✓,76
651,"Một vật chuyển động tròn đều bán kính 2 m, tốc độ góc 10 rad/s. Hãy tính vận tốc dài của vật.",D,D,✓,124
652,Công thức tính kích thước đầu ra (W2) trong phép tích chập phụ thuộc vào những yếu tố nào?,C,C,✓,313
653,Ứng dụng của hiệu điện thế trong việc truyền tải và phân phối điện năng là gì?,D,B,✗,602
654,Linear-Chain CRFs thường được áp dụng trong bài toán nào?,A,A,✓,273
655,"Trong thiết kế tập trung, node nào chịu trách nhiệm tổng hợp gradient và cập nhật tham số mô hình?",B,B,✓,314
656,"Sử dụng thông tin từ tài liệu Public_126, hãy cho biết quãng đường ánh sáng đi được trong chân không trong 1 microsecond (1 µs = 10⁻⁶ s).",D,A,✗,202
657,Đơn vị của áp suất trong hệ SI là gì?,B,B,✓,200
658,Ai là người đầu tiên đưa ra bằng chứng thực nghiệm rõ ràng về bản chất sóng của ánh sáng?,C,C,✓,196
659,"Trong hệ tọa độ cực, điểm được mô tả bằng những yếu tố nào và hệ tọa độ Descartes mô tả điểm bằng những yếu tố nào?",A,A,✓,164
660,Đặc điểm đặc biệt của thuộc tính được chọn C(max) trong Naive Bayes theo Public_112 là gì?,A,A,✓,308
661,"Trong mẫu Bohr, electron chuyển động quanh hạt nhân theo các quỹ đạo như thế nào?",B,B,✓,241
662,"Trong dao động điều hòa, (1) điều kiện nào để gọi là dao động điều hòa, và (2) đặc điểm của lực hồi phục là gì?",A,A,✓,416
663,Tóm tắt nội dung chính của văn bản,A,A,✓,485
664,"Trong chuyển động tròn đều, gia tốc hướng tâm của vật luôn:",B,B,✓,318
665,Cơ sở của động lực học quay quanh trục cố định được xây dựng trên mối quan hệ nào?,B,B,✓,413
666,"Trong dao động điều hòa đơn giản của hệ con lắc lò xo (khối lượng m, độ cứng lò xo k), tần số góc ω phụ thuộc vào đại lượng nào?",C,C,✓,218
667,Thuật toán BFS có độ phức tạp và yêu cầu bộ nhớ như thế nào?,B,B,✓,273
668,Tìm tài liệu mô tả cơ chế hoạt động của hệ thống truyền lực tạo ra gia tốc khi ô tô tăng tốc và cơ chế hoạt động của hệ thống lái cùng hệ thống treo khi ô tô đổi hướng.,A,A,✓,693
669,"Trong thiết kế phân tán, cơ chế Allgather dùng để làm gì và ưu điểm chính của thiết kế này là gì?",C,C,✓,358
670,"Trong trạng thái tĩnh, chất lưu tác dụng lực theo hướng nào lên bề mặt vật?",A,A,✓,189
671,"Trong chuyển động quay, đại lượng nào đặc trưng cho mức “lười” quay của vật và định lý nào được dùng để tính mômen quán tính khi trục quay không đi qua trọng tâm?",B,B,✓,298
672,"Nếu một chuỗi có độ dài quá lớn gây ra vấn đề gradient vanish/explode, mô hình nào trong tài liệu Public_109 được thiết kế để giải quyết vấn đề này?",B,B,✓,305
673,Ứng dụng quan trọng của hiện tượng sóng dừng trong thực tế là gì?,A,A,✓,472
674,"Một vật khối lượng  m=0,5 kg được treo vào lò xo có độ cứng 
k=200 N/m. Tính chu kỳ T của dao động điều hòa (lấy π≈3,1416).",C,C,✓,189
675,Tính chất đầy đủ của thuật toán BFS được hiểu như thế nào?,D,D,✓,510
676,Gradient Descent (GD) cập nhật tham số theo quy tắc nào đối với hàm một biến?,B,B,✓,304
677,"Một mũi khoan nhỏ mất thời gian Δt để dừng hẳn do mômen ma sát. Nếu thay bằng mũi khoan lớn có mômen quán tính gấp đôi, cùng tốc độ góc ban đầu và cùng mômen ma sát, thì thời gian để dừng lại sẽ là:",C,C,✓,364
678,"Trong thí nghiệm giao thoa sóng mặt nước với hai nguồn kết hợp cùng pha cách nhau 
10cm, bước sóng của sóng là 2cm. Một điểm M nằm trên đường trung trực của hai nguồn. Tại M sẽ xảy ra hiện tượng gì?",B,B,✓,282
679,"Nếu có 4 worker trong thiết kế phân tán, mỗi worker tính được gradient ∇L(θ)i\nabla L(\theta)_i. Khi dùng cơ chế trung bình, gradient tổng hợp sẽ được tính như thế nào?",D,D,✓,262
680,"Theo tài liệu Public_147, một kim loại có công thoát là 2 eV. Nếu chiếu ánh sáng có năng lượng photon đúng bằng 2 eV, thì electron có bật ra không và động năng cực đại bằng bao nhiêu?",D,B,✗,216
681,"Nếu robot ở trạng thái st nhận phần thưởng tức thời rt = 5, hằng số chiết khấu γ = 0.9, và giá trị Q kỳ vọng của trạng thái kế tiếp là 10, thì giá trị cập nhật Q mới theo Q-Learning sẽ là bao nhiêu (giả sử Q cũ = 0)?",B,B,✓,280
682,Nội dung chính về BFS trong tài liệu Public_106 là gì?,C,C,✓,504
683,Mục tiêu cốt lõi của PCA là gì?,D,D,✓,277
684,Tầng POOL trong CNN có mục đích chính là gì?,A,A,✓,282
685,"Sử dụng kiến thức từ Tài liệu Public_133, hãy xác định lực mà mỗi giá đỡ tác dụng lên thanh đồng chất dài 2m, khối lượng 10kg, đặt nằm ngang và tựa trên hai giá đỡ tại hai đầu, với trọng lượng thanh tác dụng tại trọng tâm.",B,B,✓,506
686,Sự khác biệt giữa Feature Map và Activation Map là gì?,B,B,✓,438
687,"Một điểm có tọa độ Descartes (−3,5;−2,5)(-3,5 ; -2,5)(−3,5;−2,5) m. Hãy xác định tọa độ cực (r, θ) của điểm này.",A,A,✓,221
688,"Theo thực nghiệm của Millikan, điện tích có tính chất cơ bản nào?",B,B,✓,185
689,Tác dụng chính của lực hướng tâm trong chuyển động tròn đều là gì?,B,B,✓,361
690,"Dựa vào tài liệu Public_139, hãy trình bày khái niệm, phương trình dao động và đặc điểm năng lượng của dao động điều hòa.",A,A,✓,614
691,"Trong điện học, (1) đại lượng nào đặc trưng cho khả năng sinh công của điện trường tại một điểm, và (2) hiệu điện thế có ý nghĩa gì đối với chuyển động của điện tích?",A,A,✓,426
692,Không gian màu HVI được thiết kế nhằm mục đích chính nào?,C,C,✓,280
693,Các ứng dụng quan trọng của sóng cơ học trong đời sống và kỹ thuật là gì?,A,A,✓,470
